step,ekf_x,ekf_y,theta_deg,sigma_xx,sigma_yy,sigma_yaw,event,obs_landmark,obs_range_m,obs_bearing_deg,sigma_xx_before,sigma_xx_after
37,3.3902,1.2773,42.52,0.000354,,,obs_L0,0,0.758,76.5,0.000376,0.000354
37,3.39,1.2778,42.45,0.000349,,,obs_L1,1,3.674,4.76,0.000354,0.000349
37,3.3898,1.2777,42.45,0.000336,,,obs_L3,3,4.634,-45.85,0.000349,0.000336
38,3.4627,1.3444,43.6,0.000331,0.000544,0.000202,predict,,,,,
38,3.4624,1.3444,43.6,0.000316,,,obs_L0,0,0.775,81.51,0.000331,0.000316
38,3.4621,1.344,43.56,0.000313,,,obs_L1,1,3.676,3.38,0.000316,0.000313
38,3.4619,1.344,43.55,0.000304,,,obs_L3,3,4.56,-47.76,0.000313,0.000304
39,3.5344,1.4129,44.69,0.0003,0.000482,0.000179,predict,,,,,
39,3.534,1.4122,44.7,0.000291,,,obs_L0,0,0.775,87.26,0.0003,0.000291
39,3.5342,1.4126,44.75,0.000289,,,obs_L1,1,3.594,0.69,0.000291,0.000289
39,3.5343,1.4122,44.73,0.000282,,,obs_L3,3,4.421,-49.51,0.000289,0.000282
40,3.6054,1.4826,45.85,0.00028,0.000426,0.000161,predict,,,,,
40,3.6051,1.4817,45.86,0.000274,,,obs_L0,0,0.804,93.26,0.00028,0.000274
40,3.6051,1.4816,45.85,0.000273,,,obs_L1,1,3.479,0.78,0.000274,0.000273
40,3.6055,1.4818,45.88,0.000267,,,obs_L3,3,4.397,-52.52,0.000273,0.000267
41,3.675,1.5535,47.03,0.000267,0.000378,0.000146,predict,,,,,
41,3.6747,1.5519,47.05,0.000263,,,obs_L0,0,0.817,98.76,0.000267,0.000263
41,3.6747,1.5524,47.09,0.000262,,,obs_L1,1,3.399,-1.53,0.000263,0.000262
41,3.6742,1.5522,47.07,0.000258,,,obs_L3,3,4.415,-53.98,0.000262,0.000258
42,3.7428,1.626,48.21,0.000259,0.000339,0.000133,predict,,,,,
42,3.743,1.627,48.19,0.000256,,,obs_L0,0,0.842,105.58,0.000259,0.000256
42,3.7427,1.6261,48.16,0.000256,,,obs_L1,1,3.362,-1.13,0.000256,0.000256
42,3.7435,1.6264,48.2,0.000252,,,obs_L3,3,4.214,-57.21,0.000256,0.000252
43,3.8099,1.7006,49.34,0.000254,0.000309,0.000123,predict,,,,,
43,3.8097,1.7006,49.34,0.000252,,,obs_L0,0,0.829,110.33,0.000254,0.000252
43,3.8096,1.7008,49.35,0.000252,,,obs_L1,1,3.204,-3.33,0.000252,0.000252
43,3.8096,1.701,49.37,0.000249,,,obs_L3,3,4.261,-59.18,0.000252,0.000249
44,3.8751,1.7772,50.52,0.000252,0.000287,0.000114,predict,,,,,
44,3.8747,1.7758,50.54,0.00025,,,obs_L0,0,0.87,114.34,0.000252,0.00025
44,3.8748,1.7765,50.57,0.000249,,,obs_L1,1,3.032,-4.93,0.00025,0.000249
44,3.8748,1.7759,50.54,0.000247,,,obs_L3,3,4.152,-60.46,0.000249,0.000247
45,3.9382,1.8529,51.69,0.000251,0.000271,0.000106,predict,,,,,
45,3.9381,1.8554,51.65,0.000249,,,obs_L0,0,0.899,120.99,0.000251,0.000249
45,3.938,1.8552,51.64,0.000248,,,obs_L1,1,3.003,-5.34,0.000249,0.000248
45,3.9381,1.8548,51.62,0.000246,,,obs_L3,3,4.11,-63.01,0.000248,0.000246
46,4.0002,1.9332,52.78,0.000251,0.000262,0.0001,predict,,,,,
46,4.0,1.9332,52.78,0.00025,,,obs_L0,0,0.971,123.4,0.000251,0.00025
46,3.9994,1.9326,52.77,0.000248,,,obs_L1,1,3.007,-6.83,0.00025,0.000248
46,3.9991,1.9329,52.78,0.000246,,,obs_L3,3,4.167,-66.21,0.000248,0.000246
47,4.0594,2.0122,53.92,0.000252,0.000256,9.4e-05,predict,,,,,
47,4.0594,2.0135,53.9,0.00025,,,obs_L0,0,1.056,-232.27,0.000252,0.00025
47,4.0599,2.0129,53.86,0.000249,,,obs_L1,1,2.749,-7.13,0.00025,0.000249
47,4.0597,2.0131,53.87,0.000247,,,obs_L3,3,4.105,-68.56,0.000249,0.000247
48,4.1186,2.0937,55.0,0.000253,0.000254,8.9e-05,predict,,,,,
