step,ekf_x,ekf_y,theta_deg,sigma_xx,sigma_yy,sigma_yaw,event,obs_landmark,obs_range_m,obs_bearing_deg,sigma_xx_before,sigma_xx_after
153,0.4998,9.9815,175.25,0.000945,,,obs_L4,4,4.974,-198.71,0.000958,0.000945
154,0.3995,9.9898,176.39,0.000973,0.00097,0.00013,predict,,,,,
154,0.4002,9.9895,176.41,0.000968,,,obs_L2,2,3.378,-239.11,0.000973,0.000968
155,0.3001,9.9958,177.55,0.000995,0.001013,0.000133,predict,,,,,
155,0.3006,9.9954,177.56,0.00099,,,obs_L2,2,3.428,-238.62,0.000995,0.00099
156,0.2008,9.9997,178.72,0.001016,0.001059,0.000136,predict,,,,,
156,0.2008,9.9991,178.72,0.001011,,,obs_L2,2,3.463,-237.55,0.001016,0.001011
157,0.1004,10.0014,179.88,0.001037,0.001106,0.000138,predict,,,,,
157,0.1,10.0027,179.86,0.001031,,,obs_L2,2,3.63,-237.44,0.001037,0.001031
158,-0.0006,10.0029,-178.99,0.001056,0.001156,0.000141,predict,,,,,
158,-0.0005,10.0018,-178.98,0.001051,,,obs_L2,2,3.541,-237.21,0.001056,0.001051
159,-0.1008,10.0,-177.84,0.001075,0.001208,0.000144,predict,,,,,
159,-0.1006,10.0009,-177.84,0.001069,,,obs_L2,2,3.716,-237.64,0.001075,0.001069
160,-0.2007,9.9971,-176.69,0.001092,0.001262,0.000146,predict,,,,,
160,-0.2006,9.9969,-176.69,0.001087,,,obs_L2,2,3.704,-237.13,0.001092,0.001087
161,-0.3004,9.9911,-175.54,0.001109,0.001318,0.000149,predict,,,,,
161,-0.3004,9.9903,-175.53,0.001103,,,obs_L2,2,3.727,-236.64,0.001109,0.001103
162,-0.3997,9.9825,-174.36,0.001124,0.001377,0.000152,predict,,,,,
162,-0.3998,9.9823,-174.36,0.001118,,,obs_L2,2,3.815,-236.65,0.001124,0.001118
163,-0.4988,9.9726,-173.23,0.001139,0.001437,0.000154,predict,,,,,
163,-0.4982,9.9717,-173.21,0.001132,,,obs_L2,2,3.832,-237.05,0.001139,0.001132
164,-0.5981,9.9598,-172.06,0.001152,0.001501,0.000157,predict,,,,,
164,-0.5981,9.9603,-172.06,0.001145,,,obs_L2,2,3.969,-236.94,0.001152,0.001145
165,-0.6974,9.9465,-170.91,0.001164,0.001567,0.000159,predict,,,,,
165,-0.6977,9.9478,-170.92,0.001157,,,obs_L2,2,4.074,-236.9,0.001164,0.001157
166,-0.7965,9.932,-169.78,0.001174,0.001635,0.000162,predict,,,,,
166,-0.7969,9.9321,-169.79,0.001168,,,obs_L2,2,4.055,-236.1,0.001174,0.001168
167,-0.8953,9.9144,-168.65,0.001184,0.001706,0.000164,predict,,,,,
167,-0.8939,9.913,-168.62,0.001177,,,obs_L2,2,4.029,-237.62,0.001184,0.001177
168,-0.9924,9.8932,-167.47,0.001192,0.001779,0.000167,predict,,,,,
168,-0.9923,9.8918,-167.47,0.001185,,,obs_L2,2,4.079,-235.89,0.001192,0.001185
169,-1.0895,9.8702,-166.33,0.001199,0.001855,0.000169,predict,,,,,
169,-1.0903,9.8696,-166.35,0.001192,,,obs_L2,2,4.184,-235.15,0.001199,0.001192
170,-1.1876,9.846,-165.21,0.001205,0.001933,0.000171,predict,,,,,
170,-1.1873,9.8454,-165.2,0.001197,,,obs_L2,2,4.239,-236.54,0.001205,0.001197
171,-1.2836,9.82,-164.06,0.001209,0.002014,0.000174,predict,,,,,
171,-1.2851,9.8211,-164.09,0.001201,,,obs_L2,2,4.4,-235.53,0.001209,0.001201
172,-1.3813,9.7937,-162.95,0.001212,0.002097,0.000176,predict,,,,,
172,-1.3827,9.7953,-162.99,0.001204,,,obs_L2,2,4.482,-236.04,0.001212,0.001204
173,-1.4781,9.7661,-161.84,0.001214,0.002183,0.000178,predict,,,,,
173,-1.4786,9.7668,-161.85,0.001206,,,obs_L2,2,4.486,-236.46,0.001214,0.001206
174,-1.5729,9.7358,-160.72,0.001215,0.002271,0.00018,predict,,,,,
174,-1.5729,9.7363,-160.71,0.001206,,,obs_L2,2,4.529,-237.19,0.001215,0.001206
175,-1.667,9.7034,-159.57,0.001214,0.002362,0.000182,predict,,,,,
175,-1.6663,9.7026,-159.56,0.001205,,,obs_L2,2,4.505,-236.97,0.001214,0.001205
176,-1.7602,9.6676,-158.39,0.001212,0.002455,0.000185,predict,,,,,
176,-1.7597,9.6673,-158.38,0.001203,,,obs_L2,2,4.592,-237.33,0.001212,0.001203
177,-1.8531,9.6303,-157.24,0.001209,0.002551,0.000187,predict,,,,,
177,-1.8537,9.6307,-157.25,0.001199,,,obs_L2,2,4.691,-236.64,0.001209,0.001199
178,-1.9459,9.5921,-156.12,0.001204,0.00265,0.000189,predict,,,,,
178,-1.9463,9.5919,-156.14,0.001195,,,obs_L2,2,4.715,-236.46,0.001204,0.001195
179,-2.0378,9.5515,-154.99,0.001199,0.00275,0.000191,predict,,,,,
179,-2.0368,9.5504,-154.97,0.001189,,,obs_L2,2,4.708,-237.55,0.001199,0.001189
180,-2.1275,9.508,-153.84,0.001192,0.002853,0.000193,predict,,,,,
180,-2.1261,9.5074,-153.8,0.001182,,,obs_L2,2,4.784,-238.65,0.001192,0.001182
181,-2.2161,9.4631,-152.63,0.001184,0.002958,0.000195,predict,,,,,
181,-2.2158,9.4629,-152.63,0.001174,,,obs_L2,2,4.87,-237.81,0.001184,0.001174
182,-2.3046,9.4169,-151.48,0.001175,0.003065,0.000196,predict,,,,,
182,-2.3057,9.418,-151.5,0.001164,,,obs_L2,2,5.004,-237.54,0.001175,0.001164
183,-2.3938,9.3701,-150.36,0.001165,0.003175,0.000198,predict,,,,,
183,-2.3937,9.3691,-150.37,0.001154,,,obs_L2,2,4.931,-237.01,0.001165,0.001154
184,-2.4807,9.3196,-149.22,0.001155,0.003286,0.0002,predict,,,,,
185,-2.5667,9.2684,-148.09,0.001155,0.003409,0.000204,predict,,,,,
186,-2.6516,9.2156,-146.94,0.001156,0.003534,0.000208,predict,,,,,
187,-2.736,9.1606,-145.78,0.001156,0.003661,0.000212,predict,,,,,
188,-2.8195,9.1038,-144.64,0.001157,0.003791,0.000216,predict,,,,,
189,-2.9015,9.0457,-143.49,0.001159,0.003922,0.00022,predict,,,,,
190,-2.9827,8.9855,-142.36,0.001161,0.004055,0.000224,predict,,,,,
191,-3.0616,8.9247,-141.22,0.001164,0.004187,0.000228,predict,,,,,
192,-3.1387,8.8627,-140.08,0.001168,0.004321,0.000232,predict,,,,,
193,-3.2151,8.7988,-138.93,0.001173,0.004456,0.000236,predict,,,,,
194,-3.2906,8.733,-137.76,0.001179,0.004593,0.00024,predict,,,,,
195,-3.365,8.6654,-136.62,0.001187,0.004731,0.000244,predict,,,,,
196,-3.4374,8.5971,-135.47,0.001197,0.004869,0.000248,predict,,,,,
197,-3.5082,8.5274,-134.3,0.001208,0.005007,0.000252,predict,,,,,
198,-3.5784,8.4554,-133.16,0.001221,0.005147,0.000256,predict,,,,,
199,-3.6463,8.3831,-132.0,0.001236,0.005286,0.00026,predict,,,,,
200,-3.7131,8.3088,-130.84,0.001254,0.005425,0.000264,predict,,,,,
201,-3.778,8.2338,-129.7,0.001274,0.005564,0.000268,predict,,,,,
202,-3.8419,8.1568,-128.56,0.001297,0.005703,0.000272,predict,,,,,
203,-3.9041,8.0788,-127.4,0.001324,0.005842,0.000276,predict,,,,,
204,-3.9645,7.9998,-126.26,0.001353,0.00598,0.00028,predict,,,,,
205,-4.0237,7.9191,-125.11,0.001386,0.006118,0.000284,predict,,,,,
206,-4.0814,7.837,-123.97,0.001422,0.006255,0.000288,predict,,,,,
207,-4.1369,7.7547,-122.81,0.001462,0.006389,0.000292,predict,,,,,
208,-4.1911,7.6706,-121.68,0.001506,0.006523,0.000296,predict,,,,,
209,-4.2441,7.5848,-120.53,0.001555,0.006657,0.0003,predict,,,,,
210,-4.2952,7.4981,-119.38,0.001608,0.006789,0.000304,predict,,,,,
211,-4.3447,7.4101,-118.22,0.001666,0.006919,0.000308,predict,,,,,
212,-4.3919,7.3221,-117.06,0.001729,0.007045,0.000312,predict,,,,,
213,-4.4376,7.2328,-115.9,0.001797,0.00717,0.000316,predict,,,,,
214,-4.4811,7.1432,-114.74,0.001869,0.007292,0.00032,predict,,,,,
215,-4.5231,7.0519,-113.62,0.001948,0.007411,0.000324,predict,,,,,
216,-4.563,6.9609,-112.5,0.002032,0.007527,0.000328,predict,,,,,
217,-4.6012,6.8686,-111.34,0.002122,0.00764,0.000332,predict,,,,,
218,-4.6378,6.7748,-110.2,0.002218,0.007751,0.000336,predict,,,,,
219,-4.6726,6.6801,-109.07,0.002322,0.007859,0.00034,predict,,,,,
220,-4.705,6.5864,-107.92,0.002429,0.007961,0.000344,predict,,,,,
221,-4.7359,6.4911,-106.77,0.002545,0.008061,0.000348,predict,,,,,
222,-4.7644,6.3963,-105.63,0.002666,0.008156,0.000352,predict,,,,,
223,-4.7912,6.3007,-104.48,0.002794,0.008247,0.000356,predict,,,,,
224,-4.8162,6.2037,-103.34,0.00293,0.008335,0.00036,predict,,,,,
225,-4.8392,6.1066,-102.21,0.003073,0.008418,0.000364,predict,,,,,
226,-4.8604,6.0089,-101.05,0.003223,0.008496,0.000368,predict,,,,,
227,-4.8794,5.9112,-99.9,0.00338,0.00857,0.000372,predict,,,,,
228,-4.8966,5.813,-98.76,0.003545,0.008639,0.000376,predict,,,,,
229,-4.9118,5.7142,-97.63,0.003718,0.008704,0.00038,predict,,,,,
230,-4.9251,5.6154,-96.5,0.003898,0.008763,0.000384,predict,,,,,
231,-4.9365,5.515,-95.35,0.004089,0.008818,0.000388,predict,,,,,
232,-4.9458,5.4158,-94.2,0.004285,0.008868,0.000392,predict,,,,,
233,-4.9531,5.3161,-93.06,0.004489,0.008912,0.000396,predict,,,,,
234,-4.9584,5.216,-91.9,0.004703,0.008951,0.0004,predict,,,,,
235,-4.9617,5.1163,-90.76,0.004923,0.008985,0.000404,predict,,,,,
236,-4.9631,5.0165,-89.64,0.005151,0.009014,0.000408,predict,,,,,
237,-4.9625,4.9172,-88.48,0.005387,0.009037,0.000412,predict,,,,,
238,-4.9598,4.8164,-87.34,0.005634,0.009055,0.000416,predict,,,,,
239,-4.9551,4.7162,-86.19,0.005888,0.009068,0.00042,predict,,,,,
240,-4.9484,4.6149,-85.03,0.006153,0.009074,0.000424,predict,,,,,
241,-4.9397,4.5154,-83.9,0.006423,0.009076,0.000428,predict,,,,,
242,-4.9292,4.4167,-82.75,0.006698,0.009073,0.000432,predict,,,,,
243,-4.9166,4.3179,-81.62,0.006983,0.009064,0.000436,predict,,,,,
244,-4.9021,4.2193,-80.48,0.007275,0.009051,0.00044,predict,,,,,
245,-4.8854,4.1198,-79.33,0.007579,0.009031,0.000444,predict,,,,,
246,-4.8669,4.0216,-78.17,0.007887,0.009007,0.000448,predict,,,,,
247,-4.8464,3.9237,-77.03,0.008204,0.008978,0.000452,predict,,,,,
248,-4.8238,3.8255,-75.88,0.00853,0.008944,0.000456,predict,,,,,
249,-4.7995,3.729,-74.73,0.008859,0.008906,0.00046,predict,,,,,
250,-4.7733,3.6329,-73.6,0.009196,0.008863,0.000464,predict,,,,,
251,-4.7449,3.5366,-72.44,0.009542,0.008815,0.000468,predict,,,,,
252,-4.7149,3.4419,-71.28,0.009892,0.008764,0.000472,predict,,,,,
253,-4.683,3.3475,-70.14,0.010248,0.008708,0.000476,predict,,,,,
254,-4.6491,3.2537,-69.01,0.010612,0.008649,0.00048,predict,,,,,
255,-4.6133,3.1603,-67.87,0.010982,0.008585,0.000484,predict,,,,,
256,-4.5755,3.0676,-66.73,0.011358,0.008519,0.000488,predict,,,,,
257,-4.5361,2.9758,-65.59,0.01174,0.008449,0.000492,predict,,,,,
258,-4.4949,2.885,-64.44,0.012125,0.008376,0.000496,predict,,,,,
259,-4.4516,2.7946,-63.3,0.012518,0.008301,0.0005,predict,,,,,
260,-4.4067,2.7052,-62.15,0.012914,0.008223,0.000504,predict,,,,,
261,-4.3603,2.6175,-60.99,0.013312,0.008143,0.000508,predict,,,,,
262,-4.312,2.5304,-59.84,0.013715,0.008062,0.000512,predict,,,,,
263,-4.2619,2.4442,-58.72,0.014121,0.007979,0.000516,predict,,,,,
264,-4.2104,2.3595,-57.57,0.014529,0.007895,0.00052,predict,,,,,
265,-4.1567,2.2749,-56.43,0.014944,0.00781,0.000524,predict,,,,,
266,-4.1013,2.1914,-55.31,0.015362,0.007723,0.000528,predict,,,,,
267,-4.0444,2.1092,-54.18,0.01578,0.007637,0.000532,predict,,,,,
268,-3.986,2.0283,-53.03,0.0162,0.007552,0.000536,predict,,,,,
269,-3.9262,1.9488,-51.89,0.01662,0.007467,0.00054,predict,,,,,
270,-3.8641,1.8697,-50.75,0.017045,0.007382,0.000544,predict,,,,,
271,-3.8006,1.792,-49.62,0.01747,0.007298,0.000548,predict,,,,,
272,-3.7356,1.7156,-48.45,0.017895,0.007216,0.000552,predict,,,,,
273,-3.6701,1.6417,-47.32,0.018312,0.007138,0.000556,predict,,,,,
274,-3.6021,1.5679,-46.17,0.018736,0.00706,0.00056,predict,,,,,
275,-3.5328,1.4957,-45.03,0.019158,0.006986,0.000564,predict,,,,,
276,-3.4621,1.4249,-43.89,0.019577,0.006915,0.000568,predict,,,,,
277,-3.3896,1.3552,-42.74,0.019996,0.006847,0.000572,predict,,,,,
278,-3.316,1.2872,-41.6,0.020411,0.006784,0.000576,predict,,,,,
279,-3.2414,1.2209,-40.46,0.020822,0.006726,0.00058,predict,,,,,
280,-3.1652,1.1559,-39.32,0.02123,0.006672,0.000584,predict,,,,,
281,-3.0877,1.0925,-38.15,0.021634,0.006623,0.000588,predict,,,,,
282,-3.0087,1.0304,-37.01,0.022035,0.006581,0.000592,predict,,,,,
283,-2.9284,0.9699,-35.86,0.022431,0.006544,0.000596,predict,,,,,
284,-2.8481,0.9119,-34.73,0.022816,0.006515,0.0006,predict,,,,,
285,-2.7667,0.8555,-33.59,0.023195,0.006492,0.000604,predict,,,,,
286,-2.6834,0.8001,-32.42,0.023571,0.006476,0.000608,predict,,,,,
287,-2.5989,0.7464,-31.28,0.023941,0.006469,0.000612,predict,,,,,
288,-2.5131,0.6943,-30.16,0.024304,0.006469,0.000616,predict,,,,,
289,-2.4265,0.644,-29.0,0.024659,0.006479,0.00062,predict,,,,,
290,-2.3397,0.5959,-27.84,0.025003,0.006497,0.000624,predict,,,,,
291,-2.2511,0.5491,-26.7,0.02534,0.006524,0.000628,predict,,,,,
292,-2.1615,0.504,-25.53,0.025669,0.006562,0.000632,predict,,,,,
293,-2.0712,0.4609,-24.38,0.025988,0.006609,0.000636,predict,,,,,
294,-1.9803,0.4197,-23.25,0.026296,0.006667,0.00064,predict,,,,,
295,-1.888,0.38,-22.11,0.026595,0.006736,0.000644,predict,,,,,
296,-1.7954,0.3424,-20.97,0.026882,0.006816,0.000648,predict,,,,,
297,-1.7018,0.3065,-19.82,0.02716,0.006908,0.000652,predict,,,,,
297,-1.7182,0.3031,-19.96,0.016653,,,obs_L0,0,5.037,-320.13,0.02716,0.016653
298,-1.6237,0.2688,-18.82,0.016817,0.005936,0.00042,predict,,,,,
298,-1.6081,0.2755,-18.66,0.012389,,,obs_L0,0,4.888,-321.41,0.016817,0.012389
299,-1.5135,0.2436,-17.52,0.012506,0.005321,0.000328,predict,,,,,
299,-1.5053,0.2401,-17.5,0.010009,,,obs_L0,0,4.803,-320.64,0.012506,0.010009
300,-1.4101,0.2101,-16.35,0.010102,0.004856,0.000279,predict,,,,,
300,-1.4247,0.2045,-16.5,0.008477,,,obs_L0,0,4.839,-320.77,0.010102,0.008477
