step,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,rl_x,rl_y,odom_error_m,ekf_error_m,rl_error_m
208,-4.18,7.6659,-4.2627,7.5185,-4.1911,7.6706,-4.1883,7.6513,0.1691,0.01206,0.0168
209,-4.2325,7.5808,-4.3179,7.4259,-4.2441,7.5848,-4.2407,7.5659,0.1769,0.01231,0.01703
210,-4.2832,7.4946,-4.3702,7.3338,-4.2952,7.4981,-4.2915,7.4794,0.18284,0.01247,0.0173
211,-4.3322,7.4075,-4.4228,7.2369,-4.3447,7.4101,-4.3407,7.3917,0.19316,0.01273,0.01792
212,-4.3795,7.3194,-4.4678,7.149,-4.3919,7.3221,-4.388,7.303,0.19192,0.01268,0.01839
213,-4.425,7.2303,-4.5128,7.0561,-4.4376,7.2328,-4.4335,7.2136,0.19512,0.01282,0.01869
214,-4.4687,7.1404,-4.5524,6.9695,-4.4811,7.1432,-4.4771,7.1235,0.19025,0.01269,0.01882
215,-4.5106,7.0496,-4.5941,6.8728,-4.5231,7.0519,-4.5189,7.0323,0.19547,0.01268,0.01909
216,-4.5507,6.958,-4.6299,6.7858,-4.563,6.9609,-4.5587,6.9406,0.18948,0.01263,0.01908
217,-4.589,6.8656,-4.6661,6.694,-4.6012,6.8686,-4.5968,6.8482,0.18806,0.01262,0.019
218,-4.6253,6.7724,-4.7033,6.5932,-4.6378,6.7748,-4.6331,6.7548,0.19546,0.01269,0.01927
219,-4.6599,6.6786,-4.7387,6.491,-4.6726,6.6801,-4.6676,6.6605,0.20346,0.01284,0.01959
220,-4.6925,6.584,-4.7671,6.404,-4.705,6.5864,-4.7,6.5659,0.19486,0.01274,0.01963
221,-4.7232,6.4889,-4.7968,6.3065,-4.7359,6.4911,-4.7306,6.4706,0.19663,0.01288,0.0197
222,-4.752,6.3931,-4.8213,6.2203,-4.7644,6.3963,-4.7592,6.3751,0.18619,0.01276,0.0194
223,-4.7789,6.2968,-4.845,6.1298,-4.7912,6.3007,-4.7858,6.2793,0.17954,0.01286,0.01882
224,-4.8039,6.2,-4.8687,6.0308,-4.8162,6.2037,-4.8106,6.1825,0.18113,0.01284,0.01865
225,-4.8269,6.1027,-4.8897,5.9357,-4.8392,6.1066,-4.8334,6.0855,0.17838,0.01287,0.01829
226,-4.848,6.0049,-4.9094,5.8379,-4.8604,6.0089,-4.8543,5.988,0.17787,0.013,0.01805
227,-4.8671,5.9067,-4.9261,5.7444,-4.8794,5.9112,-4.8732,5.8901,0.17276,0.01304,0.0177
228,-4.8843,5.8082,-4.9413,5.6482,-4.8966,5.813,-4.8901,5.7919,0.16987,0.01319,0.01737
229,-4.8995,5.7094,-4.9549,5.5497,-4.9118,5.7142,-4.9051,5.6932,0.16906,0.01323,0.0171
230,-4.9127,5.6103,-4.9665,5.4531,-4.9251,5.6154,-4.9182,5.5943,0.1661,0.01344,0.01689
231,-4.9239,5.5109,-4.9778,5.3439,-4.9365,5.515,-4.9293,5.4948,0.17547,0.01326,0.01698
232,-4.9331,5.4113,-4.9857,5.2477,-4.9458,5.4158,-4.9384,5.3952,0.17183,0.01345,0.01692
233,-4.9404,5.3116,-4.9918,5.1485,-4.9531,5.3161,-4.9455,5.2955,0.17103,0.01352,0.0169
234,-4.9456,5.2117,-4.9961,5.0455,-4.9584,5.216,-4.9507,5.1955,0.17375,0.0135,0.01702
235,-4.9488,5.1118,-4.9981,4.9482,-4.9617,5.1163,-4.9538,5.0956,0.17088,0.01364,0.01695
236,-4.9501,5.0118,-4.9983,4.8495,-4.9631,5.0165,-4.9549,4.9957,0.16927,0.01386,0.01681
237,-4.9493,4.9118,-4.9971,4.7571,-4.9625,4.9172,-4.9541,4.896,0.16186,0.01426,0.01648
238,-4.9465,4.8118,-4.9931,4.649,-4.9598,4.8164,-4.9512,4.7959,0.16938,0.01402,0.01662
